interval_start_utc,interval_end_utc,market,location,location_id,location_short_name,location_type,lmp,energy,congestion,loss
2024-01-01 00:00:00+00:00,2024-01-01T01:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,21.327873,21.32,0.198582,-0.187375
2024-01-01 01:00:00+00:00,2024-01-01T02:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,21.193015,21.12,0.298053,-0.228372
2024-01-01 02:00:00+00:00,2024-01-01T03:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,19.563645,19.72,0.114672,-0.273527
2024-01-01 03:00:00+00:00,2024-01-01T04:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,18.938505,19.08,0.095842,-0.234004
2024-01-01 04:00:00+00:00,2024-01-01T05:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,20.808325,20.59,0.480699,-0.264041
2024-01-01 05:00:00+00:00,2024-01-01T06:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,31.344281,31.14,0.629262,-0.419981
2024-01-01 06:00:00+00:00,2024-01-01T07:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,19.710969,19.73,0.311572,-0.325603
2024-01-01 07:00:00+00:00,2024-01-01T08:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,17.127228,17.12,0.273416,-0.262854
2024-01-01 08:00:00+00:00,2024-01-01T09:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,19.318193,19.26,0.364314,-0.30862
2024-01-01 09:00:00+00:00,2024-01-01T10:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,16.854011,16.9,0.180821,-0.22431
2024-01-01 10:00:00+00:00,2024-01-01T11:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,19.899322,19.18,0.945863,-0.222374
2024-01-01 11:00:00+00:00,2024-01-01T12:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,16.587758,16.46,0.321692,-0.191434
2024-01-01 12:00:00+00:00,2024-01-01T13:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,16.969965,16.46,0.706919,-0.192787
2024-01-01 13:00:00+00:00,2024-01-01T14:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,19.14134,18.54,0.82827,-0.226097
2024-01-01 14:00:00+00:00,2024-01-01T15:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,20.52303,19.67,1.036979,-0.184782
2024-01-01 15:00:00+00:00,2024-01-01T16:00:00+00:00,REAL_TIME_HOURLY,ATSI,116013753,ATSI,ZONE,35.444206,33.53,2.159253,-0.240047
